"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","586195621126.588","No"
"0x7fd1de95fc975fbbd8be260525758549ec477960","4284504103.73203","No"
"0x91d630389f7c51fac68ab3d64eaa945ec76cd40d","0.036601984","No"
"0x49645a34eb8d7e3df7609aa4ccb74b1b494be5cc","33.940211857","No"
"0xd9ed88862f0ebec8750e0c34d5985a1b87e85ed9","0.269927926","No"
"0xcb98923e740db68a341c5c30f375a34352272321","0.069002591","No"
"0x98f4db9a23f630fef0a4cc838d26aff3b291ed55","96955.708693595","No"
"0x61e0841d103d77325e7743d1ff7117efe7c2c9f6","3.457841534","No"
"0x5a2b016c641742fb97a75c0d4c22b2a637ddf4b6","0.217337111","No"
"0x3146360820657d9989241a37633b19d2a763992a","1.194307672","No"
"0xd57b95a9f40fe329120b3f8455ef621410904be2","3186.813103312","No"
"0xaa53e3d18dafa7b50ac3e25642d65d75e823006e","2.929639427","No"
"0xddde18814f6f48187481a30cfa6d55dba1ba3d13","22302.109833828","No"
"0x27987189c23434bebc7fcad177cfd36fa0f0ae34","207066.507128356","No"
"0x861ee7e21a61b1b6274a5a84da009da1bfe6835d","6287662.86517334","No"
"0x42a92d6780c80ebfbaa7e75c32307729d6ec87b2","0.007667149","No"
"0x947174ed842afe3e7246801f036709743f9ee994","10575472764.8839","No"
"0x809f3984afff7e35277060cdd34dbcbe55c6f180","0.057869879","No"
"0xf015aad0d3d0c7468f5abeac1c50043de3e5cdda","3.305790135","No"
"0xe0f94903b58dfb0afb14109fac17e2c41ed78f47","995268.196331057","No"
"0xc697be0b5b82284391a878b226e2f9afc6b94710","7373.868417106","No"
"0x977193d601b364f38ab1a832dbaef69ca7833992","65.209518472","No"
"0xfe3c8aa78d2b464483ec967a8c1b45a772a2ce82","124284.541176313","No"
"0x8d3445334edc6b0b3cef917f70bd82f3c5769797","96.690159529","No"
"0x48616d15d66ba0385ac89ea94927a12ec21877ae","34719.977527503","No"
"0xaa5c36e3d8d3902301fffe87bdd0c3a7166c737f","1.780567544","No"
"0x66ed7441465dacf123909ae15064a412c2ad2d08","15.365522054","No"
"0x7b19f21510b658c6424e635005f006900d547516","29849.430937733","No"
"0xb8ca31bf18085aa838e49792a6ef3e46270523c1","832882.225559225","No"
"0x4ac5a17b758c3a3c93214e770e35c4367ecff8b6","10492.657011025","No"
"0x2047d1a3d03722760b1eb4b4cdee392957d4f72d","126.299907735","No"
"0xe352aac86386bfd2d05e0cbcb1f5be5e3e9ab596","23676.938893869","No"
"0xdf0173fad0a06318479af7a51880fdc336aa9901","18188671.7111245","No"
"0x7d339e56644104dcfa920a8bb21bb1d3a644dc87","7.435860585","No"
"0x9e5b5204751ef04a2029451515c9009bd01dcd4e","1228422212.87619","No"
"0x62d44f7540345de09b6b0ae6780dc151ef40b1d9","35.828916354","No"
"0xdc4697294b38a10c8f103d8ee19e4fefb637a77c","37796.88030696","No"
"0xc6e6dd6a0c61651d1bc055dc1c22418a729d41bb","1E-09","No"
"0xbd39a0f84d7b455a5364538954ac933eda095c4c","3969755.7144992","No"
"0x7868ceb3a8055656f8bdeb9451108b0245992934","38035.826490657","No"
"0xfa7e15dffa8c6b930523990af19a37a07c1888a5","75.653643696","No"
"0x9b4e6a6f1576d413f9b020a226a9c2eb40ba6a0e","0.154711808","No"
"0x2e4ebc52ad387ba720ca175c6d355afc376954e6","18179099.4592525","No"
"0x5bde608982edb84cfeafaee11a0b537b30f7d23c","559268.893743818","No"
"0xe5cd73fa00a0a439295b04ef54071880aaa07f79","0.130671638","No"
"0x016f515e8b2c19f052dbbd50c40d0d258edbc36d","1494.869519924","No"
"0x57dd7f7dec129f623eb9dda3acd900be2619200f","434911.603871522","No"
"0x170dd16d9f4a9072a722903fc9cd8525986a858d","4488.439988256","No"
"0x4ea257b9f84df300f2e5f3c4115f4aee220451d7","7.1E-08","No"
"0x39d855ed0ee00719387c37a8c26d6056e8582d3f","3.940526868","No"
"0x546c9209a6e2b6acc2e53d3b11e8115ba7396bd2","0.073827951","No"
"0xc6273dbc610fe3f032a509beb32830d40018182f","1386303.69409805","No"
"0x49768ccc323a415d57ce26f8aa120486c705a83f","50707.702707945","No"
"0xb279179b24737a988bcbca28db2e7daff733dc66","5874.96499768","No"
"0x5518f48d67ed9385c79340cab2eae9783c71288c","93178470.9095626","No"
"0x6a9b3e3d95ca45e39cdda9345de9c1e667a645f1","45098.570075274","No"
"0xf94b569cd29d700d37f72723184f9053906a9a7b","83605.753635271","No"
"0x9489271ddf36255363f763155929ed080d09b756","13707.869345081","No"
